Data of Tweet,Tweet Content
2022-05-04 23:31:49+00:00,The Marcos makeover: How history was rewritten to place a dictator's son on the cusp of power https://t.co/Oit7bxGeTk via @ABCaustralia
2022-05-04 23:31:34+00:00,A total of 260 Filipino graduates of Australian universities and higher education institutions added their voices in supporting the candidacies of VP Leni Robredo and Senator Kiko Pangilinan.
2022-05-04 23:31:29+00:00,@InitiativePH Kita kits sa inauguration ni President Leni Robredo! Manifesting! 🌸💕🙏
2022-05-04 23:31:27+00:00,"""Sa Gobyernong Tapat, Angat Buhay Lahat!""
Ako si Mahal isang Iskolar ng Bayan, nakikiisa sa pagsuporta kay Vice President Leni Robredo at Senator Kiko Pangilinan kasama ang TRoPa ng Senatorial Slate. Tara, samahan ninyo na ipanalo ito para sa lahat!
#LetLeniKikoLead
#LeniKiko2022 https://t.co/1B1nTMAVAt"
2022-05-04 23:31:07+00:00,"Hindi ko sinasabing maganda ako, ang akin lang maganda ang gusto kong Presidente, maganda at detalyado ang kanyang plataporma sa bansa at si Leni Robredo yun! Dahil kay Leni, angat buhay lahat 💗🌸

#IpanaloParaSaLahat
#LetLeniKikoLead
#LeniKiko2022
#KulayRosasAngBukas https://t.co/c7pCaLxmA4"
2022-05-04 23:30:46+00:00,"Bongbong Marcos, historical baggage and a race for the Philippine presidency - CNA ( CNA: Breaking News, Singapore News, World and Asia https://t.co/66QQxpKP03)"
2022-05-04 23:30:08+00:00,"Bongbong Marcos also promises to work on the inclusion of Digital Infrastructure to improve and have a more reliable and affordable internet service for consumers, e-commerce, and all the required online functions to operate. He will also work to create smart ports that use"
2022-05-04 23:28:57+00:00,"Large crowds gather in Manila, Danao City for ‘Switch a Candle’ prayer rally for Isko Moreno

https://t.co/aOBukSJfcz

https://t.co/DVX4ah1Plp

ISKO MORENO'S BARANGAY BANYO SA BAWA'T ISTRATEHIKONG MATATAONG KANTO PARA SA MGA MANILEÑO (PARA SA MGA MAMAMAYANG FILIPINO O PUBLIKO)!"
2022-05-04 23:28:20+00:00,"ICYMI. Volleyball standouts Alyssa Valdez, Kat Tolentino, Bea de Leon, Deanna Wong, Denden Lazaro, and Caitlyn Viray, to name a few, attend the event in support of Leni Robredo and Kiko Pangilinan. #PHVote #WeDecide  https://t.co/xwZTOBITyB"
2022-05-04 23:28:02+00:00,"I’m running out of ideas for Leni Robredo promotional anime-related memes. If y’all have one, please share it with me. I’ll credit you. I just badly want my chosen presidential candidate to win 😭😭"
